Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
TP53 human,39/164,2.8865421932925575e-17,1.3884267949737202e-14,0,0,6.511409040793826,247.9797678656153,RB1;DNMT1;GSTP1;BRCA1;FOXO3;FOXM1;RELA;IGF1R;GLI2;ALKBH2;RASSF1;MYC;HSF1;E2F1;SFN;E2F3;PPARGC1A;CTSD;HRAS;E2F7;EGR1;SMAD3;MMP1;STAT1;CAV1;STAT3;S100B;ESR1;PML;RRM2B;CARM1;CDK2;MDM2;CTNNB1;TP53;ATF3;TP73;BCL2L1;EZH2,TRRUST_Transcription_Factors_2019
RB1 human,15/31,1.7559757682834765e-12,4.223121722721761e-10,0,0,19.17091836734694,518.9183497391749,RB1;ATF2;BRCA1;IGF1;ELF1;TFDP1;CDH1;SP1;MYC;DDIT3;E2F1;TP53BP2;E2F3;HBP1;MAP3K5,TRRUST_Transcription_Factors_2019
BRCA1 human,18/57,6.472131382879501e-11,1.0376983983883468e-08,0,0,9.457062334217506,221.8714825656636,MDC1;EGR1;HSPA5;STAT1;STAT2;STAT3;IGF1;BACH1;HIF1A;ESR1;IGF1R;MYC;DDIT3;MDM2;EP300;JAK2;CTSD;JAK1,TRRUST_Transcription_Factors_2019
ESR1 human,20/76,2.2644494680569038e-10,2.7230004853384273e-08,0,0,7.327213822894168,162.72656931528363,CEBPB;JUN;ZFHX3;BRCA1;AHR;ESR1;NR5A2;ZEB1;CDH1;SP1;MYC;E2F1;MDM2;CTNNB1;JAK2;CTSD;JUNB;TP53;MTA3;MICB,TRRUST_Transcription_Factors_2019
JUN human,28/149,3.421076888119657e-10,3.2910759663711104e-08,0,0,4.772538216388484,104.02174446736012,APP;BECN1;RARG;GSTP1;PLAT;TXN;BRCA1;ETS1;ETS2;GJA1;PLAU;MYC;SOX7;PDK1;JUN;MAP3K1;SYK;VDR;MMP1;FOSL1;DDIT3;IL1B;PPARA;TP53;ATF3;TP73;BCL2L1;EZH2,TRRUST_Transcription_Factors_2019
EZH2 human,14/40,1.871440473775544e-09,1.500271446476728e-07,0,0,10.993397160779136,220.929437016226,CIITA;HDAC1;VDR;BRCA1;ADRB2;HOXB13;RUNX3;SFRP1;CDH1;MYC;ALDH1A1;SNAI2;TP53;KPNB1,TRRUST_Transcription_Factors_2019
SP1 human,53/472,4.974572753069417e-09,3.418242134609129e-07,0,0,2.639610120614592,50.46651148558714,ATF2;SNAP25;APP;PLAT;AHR;BRCA1;FOXM1;IGF1R;YY1;C4B;GJA1;RASSF1;EDNRB;CDH2;SNAPC1;PLAU;MYC;BSG;MYBL2;HRAS;MYBL1;SREBF1;CSNK2A1;RPS3A;HLA-G;CREB1;KIT;SQSTM1;CD44;DNMT1;CBFB;SRC;GSTP1;SLC3A2;RELA;WIF1;E2F1;CD14;BRD7;MICA;MICB;EGR1;TGFB1;VDR;CAV1;IGF2;DHCR24;ESR1;EPOR;SP3;MDM2;NF1;TAF7,TRRUST_Transcription_Factors_2019
YY1 human,20/91,6.91884750609139e-09,4.159957063037449e-07,0,0,5.774647887323944,108.49995516739892,HDAC2;CREBBP;HDAC3;HSPA5;EPAS1;HDAC1;BRCA1;CTCF;COX6A1;NR3C1;HOXB13;HIF1A;HCFC1;MYC;IL1B;NF1;GNAS;CCR5;TP53;TP73,TRRUST_Transcription_Factors_2019
NFKB1 human,39/303,1.39038304188163e-08,7.430824923834045e-07,0,0,3.0604139520898066,55.36625933238207,CD40;HDAC1;GSTP1;CTCF;FOXO3;HIF1A;AGER;YY1;CDH1;PLAU;MYC;PDK4;E2F1;PTGDS;CCR5;B2M;JUNB;MICA;EGR1;CD74;TGFB1;TBP;CSNK2A1;MMP1;GADD45G;NCOR2;NFKBIA;CREB3;BMP2;NCOR1;CD40LG;RRM2B;IL1B;CARM1;TP53;SQSTM1;ATF3;BCL2L1;BIRC3,TRRUST_Transcription_Factors_2019
SP1 mouse,36/270,1.993466689698485e-08,9.1780389027145e-07,0,0,3.181741335587489,56.41483698168165,KDM5A;APP;CEBPA;DNMT1;NOTCH1;CEBPD;EPAS1;SRC;COX4I1;SLC3A2;AHR;BACH1;ASCL2;ETS1;MYC;BSG;RHO;MYH11;CD14;NGFR;EGR1;SREBF1;SMARCC1;JUN;JUND;SETDB1;EPOR;BMP4;BMP2;REST;TAL1;SP1;SP4;KIT;BHLHE40;NF1,TRRUST_Transcription_Factors_2019
