Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
EP300,123/473,3.045986589869287e-57,8.467842719836618e-55,0,0,7.9867800729040095,1039.347847870706,RB1;ATF2;MDC1;KDM1A;AHR;NR3C1;ELK1;ETS1;ETS2;YY1;KAT5;CDH1;MYC;JUNB;MAP3K5;HMGN1;MEF2A;RUNX3;RUNX1;MSH6;EWSR1;DDIT3;CLOCK;TP53;DDX5;NOTCH1;CTBP2;MAX;EPAS1;TCF7;GATA6;GATA4;PIK3R1;GATA2;FOXO3;HIF1A;ABL1;ZBTB7B;PPARGC1A;SMAD2;STAT5B;EGR1;SMAD1;CREBBP;JUN;XBP1;XRCC6;SMAD4;JUND;UBE2I;SMAD3;VDR;NR2F2;ESR1;FOSL2;FOSL1;CDK9;SNW1;BCL6;SP1;SP3;CDK2;MDM2;HBP1;TCF4;TCF3;TP73;CHD4;BRCA1;MECP2;UBTF;MYBL2;GABPA;SS18;SREBF1;TBP;TCF12;ARNT;ETV1;TGFBR1;NCOR2;CREB3;KAT2A;ZEB1;NCOR1;CREB1;IRF3;TAL1;IRF2;PPARA;CD44;GTF3C1;YAP1;GTF3C2;CEBPA;CEBPB;HDAC2;HDAC3;CEBPD;SRC;HDAC1;ASCL1;ASCL2;HDAC6;RELA;RXRA;POLR2A;STAT6;BRD7;BRD4;NFYA;STAT1;NFYB;STAT2;STAT3;ZNF76;USF2;PML;USF1;KLF5;CARM1;CTNNB1;RAN,Transcription_Factor_PPIs
ESR1,154/871,4.472198756400831e-48,6.2163562713971545e-46,0,0,4.972842088950876,542.1700974631035,ATF1;SMARCB1;KDM1A;TRRAP;AHR;ALKBH7;IGF1R;RPS14;TRIM28;KAT5;RPS18;MYC;EP300;UBAP2L;JUNB;RPS12;MED1;SMARCC2;CSNK2A1;PIAS1;MSH6;EEF1A1;EWSR1;TBL1XR1;RBCK1;TP53;KPNB1;VCL;GLYR1;VCP;DDX5;PRKDC;CUL3;IQGAP1;PIK3R1;FOXO3;HIF1A;EPB41L5;LARP1;PRDX1;MYO6;ABL1;SFN;APOD;PPARGC1A;MYH10;SMAD2;HSPA8;CREBBP;JUN;XBP1;XRCC6;SMAD4;UBE2I;JUND;SMAD3;JUP;HSPA5;CAV1;SMARCA4;GADD45G;HNRNPL;SNW1;SP1;CAPRIN1;SP3;GNB1;CDK2;MDM2;HNRNPD;STRN;TAB2;CALM1;EZH2;EIF4G1;KDM5A;NUMA1;SRA1;CHD4;MYL6B;BRCA1;HMGB1;CHD3;CDC73;MED17;LMNB1;MED12;MED13;TUBA1A;SUMO1;OPA1;SIN3A;MED10;WDR5;UBTF;SEC61B;CTSD;DSP;SREBF1;HSP90AA1;WDR36;TBP;NME2;ARNT;FOXL2;RPS3A;OXSR1;YWHAZ;EEF1G;NCOR2;KAT2A;TUBB2A;NCOR1;PIK3CA;LCK;TRAF6;RPL37A;LCOR;MYH9;TOP1;PABPC1;RAB7A;CEBPA;CEBPB;HDAC2;HDAC3;SRC;HDAC1;RPL12;SLC3A2;NR2C2;RELA;RXRA;POLR2A;RBBP5;NRIP1;RPL13;RBBP6;MTA3;SMARCE1;KDM4A;SSB;MAP3K1;HSPA1L;STAT3;MBD2;USF1;FKBP1A;MYO1B;KLF5;VAPB;CTNNB1;TRIP12;RAN,Transcription_Factor_PPIs
SP1,85/263,8.966425504865456e-48,8.308887634508657e-46,0,0,10.469013036839838,1134.1144360662363,RB1;MYL6B;BRCA1;AHR;CHD3;ETS1;MECP2;YY1;SUMO1;SIN3A;MYC;EP300;GABPA;KLF10;SREBF1;SMARCC1;HSP90AA1;SMARCC2;TBP;CSNK2A1;SYK;LMO2;ARNT;SREBF2;RUNX1;HCFC1;NCOR2;ELF1;NCOR1;CREB1;TAL1;IL1B;MYH9;TP53;CRK;DNMT1;DDX5;CEBPB;HDAC2;HDAC3;EPAS1;PRKDC;SRC;HDAC1;SRF;GATA6;GATA4;HIF1A;RELA;RXRA;MYO6;ABL1;E2F1;MYH11;E2F3;ZBTB7B;ZBTB7A;MYH10;SMAD2;ATF7IP;NGFR;EGR1;HSPA8;CREBBP;JUN;SMAD4;SMAD3;NFYA;NFYB;NFYC;STAT3;ESR1;MEIS2;PML;SMARCA4;MYO1B;REST;BCL6;SP4;SP3;CDK2;KLF9;BCOR;CALM1;OGT,Transcription_Factor_PPIs
HDAC2,101/387,4.398199212791107e-47,3.056748452889819e-45,0,0,7.843621467290107,837.2305413179129,RB1;SMARCB1;KDM1A;PRDM1;SMC3;NR3C1;YY1;KAT5;CDH1;MYC;CWC22;EP300;GTF2I;DAXX;SMARCC1;SMARCC2;CSNK2A1;RUNX3;HCFC1;PIAS1;RUNX1;EWSR1;RFX5;CLOCK;TP53;ATF3;DNMT1;DDX5;CTBP2;GATA4;HIF1A;ZBTB7A;SMAD2;CREBBP;JUN;SMAD4;SETDB1;VDR;SMARCA5;ESR1;SMARCA4;GADD45G;NFKBIA;SNW1;BCL6;SP1;SP3;MDM2;SNAI2;MAFK;TAB2;TCF3;RCOR1;EZH2;TP73;KDM5A;KDM5B;CIITA;KDM5C;SRA1;CHD4;ARRB2;BRCA1;CHD3;MECP2;SUMO1;SIN3A;SUMO2;MYBL2;HRAS;APPL1;SS18;SYK;NCOR2;ZEB2;KAT2A;CREB1;TAL1;CEBPA;HDAC1;RELA;REPIN1;HIRA;HSF1;NRIP1;E2F1;E2F4;MTA3;MBD3;SMARCE1;RANBP2;SUZ12;MBD4;STAT3;MBD2;GATAD2B;PML;REST;KLF5;ZNF217;CTNNB1,Transcription_Factor_PPIs
SMARCA4,74/219,3.3583910715569647e-43,1.8672654357856722e-41,0,0,11.06664030370136,1082.314068368372,RB1;CIITA;SMARCB1;NUMA1;CHD4;BRCA1;AHR;RBPJ;NR3C1;ETS2;MED17;LMNB1;YY1;TRIM28;SUMO1;SIN3A;MYC;SUMO2;JUNB;SS18;SMARCC1;SMARCC2;CSNK2A1;RUNX1;NCOR2;RBL2;ZEB1;NCOR1;CREB1;TP53;ATF3;CEBPA;DDX5;CEBPB;HDAC2;NOTCH1;HDAC3;EPAS1;HDAC1;CUL3;SRF;GATA4;HIF1A;RXRA;POLR2A;HSF1;TBX20;STAT6;BRD7;BRD4;MBD3;SMAD2;SMARCE1;KDM4A;CREBBP;SMAD3;STAT1;VDR;CBX3;STAT2;STAT3;ESR1;PBX1;PML;USF1;REST;BCL6;SP1;CARM1;NF1;CTNNB1;TCF3;RCOR1;NFE2L2,Transcription_Factor_PPIs
JUN,76/248,6.499331184276051e-41,3.011356782047904e-39,0,0,9.58989574979952,887.3941899308064,RB1;ATF1;ATF2;APP;SMARCB1;ARRB1;BRCA1;CHD3;NR3C1;ETS1;ETS2;SPIB;TUBA1A;SUMO1;CHL1;MYC;SUMO2;EP300;JUNB;SS18;HSP90AA1;TBP;CSNK2A1;EN1;ETV5;RUNX1;HCFC1;PIAS1;NCOR2;CREB3;CREB1;DDIT3;TOP1;ATF3;CEBPA;HDAC2;HDAC3;CBFB;PRKDC;HDAC1;MAZ;GATA2;HIF1A;RELA;NRIP1;ABL1;STAT6;ASCC3;MTA3;MBD3;SMAD2;EGR1;HSPA8;CREBBP;SMAD4;JUND;MAP3K1;UBE2I;SMAD3;NFYA;STAT1;VDR;STAT3;ESR1;PML;FOSL2;FOSL1;BCL6;SP1;NEDD4;CDK2;MDM2;CTNNB1;TCF4;NFE2L2;TAF1,Transcription_Factor_PPIs
TP53,117/628,1.3120092151048587e-38,5.210550882845011e-37,0,0,5.121420427317943,446.7244691065375,RB1;MDC1;SMARCB1;KDM1A;TRRAP;NR3C1;BACH1;ETS1;ETS2;IGF1R;YY1;TRIM28;KAT5;ZMIZ1;MYC;EP300;MED1;DAXX;SMARCC1;CSNK2A1;SCAMP1;PIAS1;MSH6;XRN1;EWSR1;S100A4;RAF1;ATF3;KPNB1;DNMT1;VCP;DDX5;PRKDC;TXN;FOXO3;HIF1A;ZNHIT1;UBR5;ABL1;SMYD2;TP53BP2;SFN;PPARGC1A;ZBTB7A;SMAD2;EGR1;SMAD1;HSPA8;CREBBP;XRCC6;UBE2I;SMAD3;HSPA5;VDR;DHCR24;ESR1;PTK2;SMARCA4;GADD45G;CDK9;NFKBIA;SP1;SP3;CDK2;BHLHE40;MDM2;MAFK;BCL2L1;TP73;PHF20;BRCA1;HMGB1;CHD3;BMI1;MED17;SUMO1;SIN3A;SUMO2;WDR5;HRAS;SREBF1;HSP90AA1;TBP;AXIN1;YWHAZ;TOPORS;SREBF2;KAT2A;NCOR1;TFDP1;CREB1;RRM2B;TOP1;CEBPB;HDAC2;HDAC3;HDAC1;PPP2CA;RBBP5;E2F1;STAT6;BRD7;RNF20;RANBP2;MAP3K1;HSPA1L;NFYA;STAT1;NFYB;S100B;HIPK3;PML;CD40LG;TRIM39;CARM1;CEBPZ;TAF1,Transcription_Factor_PPIs
CEBPB,57/142,2.946973044739169e-38,1.0240731330468612e-36,0,0,14.30864818368292,1236.5169601914067,RB1;ATF2;CIITA;SMARCB1;HMGB1;NR3C1;ELK1;SPIB;TRIM28;SUMO1;SIN3A;MYC;SUMO2;EP300;JUNB;MED1;DAXX;SMARCC1;RHOA;RUNX1;NCOR2;KAT2A;CREB1;NCOR1;DDIT3;TP53;ATF3;CEBPA;CEBPD;PRKDC;HDAC1;SRF;NR2C2;RELA;RAD21;HSF1;ABL1;STAT6;ZBTB7A;EGR1;CREBBP;SMAD4;SMAD3;NFYC;STAT3;SMARCA5;NR2F2;ESR1;USF1;SMARCA4;MEIS1;SP1;CARM1;NFIC;SP3;BHLHE40;CDK2,Transcription_Factor_PPIs
SIN3A,67/214,8.187208605723441e-37,2.528937769323463e-35,0,0,9.8037271791538,814.6218419983746,RB1;KDM5B;SMARCB1;KDM1A;CHD4;CTCF;CHD3;RBPJ;ELK1;MECP2;YY1;TRIM28;SUMO1;SUMO2;KLF10;SMARCC1;HSP90AA1;SMARCC2;TBP;CSNK2A1;TOPORS;RUNX1;HCFC1;NCOR2;NCOR1;TAL1;TP53;NOTCH2;CEBPB;HDAC2;HDAC3;EPAS1;HDAC1;RELA;HDAC6;MNT;RXRA;TBL1X;E2F4;ZBTB7A;MBD3;SMARCE1;MBD4;SMAD4;SMAD3;SETDB1;VDR;MBD2;SMARCA5;ESR1;PML;SMARCA4;THAP11;REST;SNW1;BCL6;SP1;SP3;CDK2;KLF9;SNAI2;HBP1;TAB2;TCF3;OGT;RAN;TAF1,Transcription_Factor_PPIs
SMAD3,86/375,1.8186753047532103e-35,5.0559173472139265e-34,0,0,6.493079584775087,519.3968237617695,ATF2;APP;RARG;KDM5C;BRCA1;CTCF;NR3C1;ETS1;YY1;OPA1;ZMIZ1;ZNF83;SIN3A;MYC;EP300;JUNB;SMARCC1;SMARCC2;TCF12;TFE3;AXIN1;FOXL2;RUNX3;SREBF2;TGFBR1;RUNX1;RBX1;ZEB2;KAT2A;ZEB1;S100A4;PABPC1;TP53;TLR4;SQSTM1;CRK;ATF3;KPNB1;YAP1;CEBPA;DDX5;CEBPB;NOTCH1;CEBPD;EPAS1;MAX;CSH2;SRC;HDAC1;CHRD;GATA4;FOXO3;HIF1A;RELA;EPB41L5;ACVR1C;DVL1;E2F4;BPTF;SMAD2;EGR1;SMAD1;CREBBP;XRCC6;JUN;SMAD4;JUND;TGFB1;VDR;NFYC;ESR1;FLI1;PBX1;PML;SMARCA4;CDK9;SNW1;KLF5;SP1;NFIC;NEDD4;CDK2;NF1;CTNNB1;MYD88;TP73,Transcription_Factor_PPIs
